rooms,serie,area,furniture,floor,region,price
3,0,80,1,1,1,85000
3,1,91,1,1,2,85000
3,0,95,1,2,2,85000
3,0,,1,6,1,85000
2,0,70,1,6,2,85000
2,0,78,1,5,1,85000
3,1,132,1,6,3,84480
3,0,102,1,8,2,84000
3,0,97,1,6,4,83000
3,0,78,0,2,4,83000
2,0,65,1,2,2,82900
2,0,72,1,5,2,81000
3,0,125,1,5,4,81000
3,0,105,1,7,3,80000
2,0,77,1,2,1,80000
3,0,117,1,2,3,80000
3,0,78,1,2,2,80000
3,0,81,1,3,2,80000
2,1,74,1,2,4,80000
3,0,117,1,6,1,79000
2,0,86,1,7,1,79000
2,0,86,1,6,1,78800
2,0,98,1,5,1,78000
2,0,87,1,5,2,78000
3,0,90,1,6,2,78000
3,0,91,1,5,1,77350
3,0,88,1,4,1,77000
3,0,100,1,3,2,77000
3,1,65,1,1,4,77000
2,0,66,1,6,3,77000
3,0,134,1,3,2,77000
3,0,72,1,1,3,77000
3,0,85,1,1,4,77000
3,0,90,1,7,1,76000
3,0,90,1,2,3,76000
3,0,83,1,5,3,76000
2,0,82,1,6,2,76000
3,0,75,1,1,2,75700
3,0,81,1,1,3,75000
2,0,76,1,1,3,75000
3,1,125,1,7,4,75000
2,0,84,1,3,2,75000
3,0,82,1,8,4,75000
2,0,90,1,5,1,75000
3,0,79,0,2,3,75000
3,1,95,1,6,2,75000
3,1,60,1,4,3,75000
3,0,95,1,7,1,75000
2,0,95,1,6,1,75000
2,0,68,1,8,2,75000
3,0,88,1,9,3,74800
2,0,74,1,7,1,74000
2,0,87,1,2,3,73950
3,0,124,1,5,4,73800
2,0,72,1,5,3,73000
2,1,66,1,1,3,72600
3,0,76,1,1,3,72000
2,0,85,1,9,1,71400
2,0,72,1,2,3,70500
3,0,68,0,2,4,70000
3,0,84,1,7,4,70000
3,0,103,1,5,3,70000
3,0,76,1,9,4,70000
3,0,70,1,1,2,70000
3,0,105,1,6,3,70000
3,0,104,1,9,3,70000
3,0,110,1,7,3,70000
2,0,78,1,4,3,69600
2,1,80,1,1,4,69000
3,1,95,1,1,2,68000
2,1,84,1,1,1,68000
3,0,69,1,4,2,68000
3,0,74,0,2,4,68000
2,0,78,1,10,3,68000
3,0,85,1,7,3,68000
2,0,83,0,2,2,68000
3,0,69,1,7,3,67500
2,0,61,1,9,1,67200
3,0,94,1,7,2,67000
2,0,72,1,8,3,67000
2,1,79,0,1,3,67000
3,0,69,1,7,2,67000
3,0,72,1,4,1,67000
2,0,83,1,6,1,67000
3,0,75,1,9,3,67000
3,0,85,1,6,3,66500
2,0,82,1,9,1,66000
3,0,68,1,3,3,66000
3,0,85,1,1,3,66000
1,0,45,1,1,1,39600
1,0,40,1,6,2,27300
1,0,56,1,1,3,29500
3,0,59,0,1,3,42000
2,0,68,1,7,3,44000
2,0,43,1,4,4,34000
2,0,225,1,6,3,191250
2,0,57,1,6,1,53000
2,0,82,1,4,1,66000
3,0,61,1,7,3,30000
